time	pos_x	vel_x	pos_y	vel_y
0	0.17500001	 17.500001	0.30310889	 30.212889
0.01	0.35000001	 17.500001	0.60523778	 30.114889
0.02	0.52500002	 17.500001	0.90638666	 30.016889
0.03	0.70000002	 17.500001	 1.2065556	 29.918889
0.04	0.87500003	 17.500001	 1.5057444	 29.820889
0.05	     1.05	17.500001	1.8039533	29.722889
0.06	    1.225	17.500001	2.1011822	29.624889
0.07	      1.4	17.500001	2.3974311	29.526889
0.08	    1.575	17.500001	   2.6927	29.428889
0.09	1.7500001	17.500001	2.9869889	29.330889
0.1	1.9250001	17.500001	3.2802978	29.232889
0.11	2.1000001	17.500001	3.5726267	29.134889
0.12	2.2750001	17.500001	3.8639755	29.036889
0.13	2.4500001	17.500001	4.1543444	28.938889
0.14	2.6250001	17.500001	4.4437333	28.840889
0.15	2.8000001	17.500001	4.7321422	28.742889
0.16	2.9750001	17.500001	5.0195711	28.644889
0.17	3.1500001	17.500001	  5.30602	28.546889
0.18	3.3250001	17.500001	5.5914889	28.448889
0.19	3.5000001	17.500001	5.8759778	28.350889
0.2	3.6750001	17.500001	6.1594867	28.252889
0.21	3.8500001	17.500001	6.4420155	28.154889
0.22	4.0250001	17.500001	6.7235644	28.056889
0.23	4.2000001	17.500001	7.0041333	27.958889
0.24	4.3750001	17.500001	7.2837222	27.860889
0.25	4.5500001	17.500001	7.5623311	27.762889
0.26	4.7250001	17.500001	  7.83996	27.664889
0.27	4.9000002	17.500001	8.1166089	27.566889
0.28	5.0750002	17.500001	8.3922778	27.468889
0.29	5.2500002	17.500001	8.6669666	27.370889
0.3	5.4250002	17.500001	8.9406755	27.272889
0.31	5.6000002	17.500001	9.2134044	27.174889
0.32	5.7750002	17.500001	9.4851533	27.076889
0.33	5.9500002	17.500001	9.7559222	26.978889
0.34	6.1250002	17.500001	10.025711	26.880889
0.35	6.3000002	17.500001	 10.29452	26.782889
0.36	6.4750002	17.500001	10.562349	26.684889
0.37	6.6500002	17.500001	10.829198	26.586889
0.38	6.8250002	17.500001	11.095067	26.488889
0.39	7.0000002	17.500001	11.359956	26.390889
0.4	7.1750002	17.500001	11.623864	26.292889
0.41	7.3500002	17.500001	11.886793	26.194889
0.42	7.5250002	17.500001	12.148742	26.096889
0.43	7.7000002	17.500001	12.409711	25.998889
0.44	7.8750002	17.500001	  12.6697	25.900889
0.45	8.0500002	17.500001	12.928709	25.802889
0.46	8.2250003	17.500001	13.186738	25.704889
0.47	8.4000003	17.500001	13.443787	25.606889
0.48	8.5750003	17.500001	13.699856	25.508889
0.49	8.7500003	17.500001	13.954944	25.410889
0.5	8.9250003	17.500001	14.209053	25.312889
0.51	9.1000003	17.500001	14.462182	25.214889
0.52	9.2750003	17.500001	14.714331	25.116889
0.53	9.4500003	17.500001	  14.9655	25.018889
0.54	9.6250003	17.500001	15.215689	24.920889
0.55	9.8000003	17.500001	15.464898	24.822889
0.56	9.9750003	17.500001	15.713127	24.724889
0.57	    10.15	17.500001	15.960376	24.626889
0.58	   10.325	17.500001	16.206644	24.528889
0.59	     10.5	17.500001	16.451933	24.430889
0.6	   10.675	17.500001	16.696242	24.332889
0.61	    10.85	17.500001	16.939571	24.234889
0.62	   11.025	17.500001	 17.18192	24.136889
0.63	     11.2	17.500001	17.423289	24.038889
0.64	   11.375	17.500001	17.663678	23.940889
0.65	    11.55	17.500001	17.903087	23.842889
0.66	   11.725	17.500001	18.141516	23.744889
0.67	     11.9	17.500001	18.378964	23.646889
0.68	   12.075	17.500001	18.615433	23.548889
0.69	    12.25	17.500001	18.850922	23.450889
0.7	   12.425	17.500001	19.085431	23.352889
0.71	     12.6	17.500001	 19.31896	23.254889
0.72	   12.775	17.500001	19.551509	23.156889
0.73	    12.95	17.500001	19.783078	23.058889
0.74	   13.125	17.500001	20.013667	22.960889
0.75	     13.3	17.500001	20.243276	22.862889
0.76	   13.475	17.500001	20.471904	22.764889
0.77	    13.65	17.500001	20.699553	22.666889
0.78	   13.825	17.500001	20.926222	22.568889
0.79	       14	17.500001	21.151911	22.470889
0.8	   14.175	17.500001	 21.37662	22.372889
0.81	    14.35	17.500001	21.600349	22.274889
0.82	   14.525	17.500001	21.823098	22.176889
